ts,event_name,user_pseudo_id,session_key,page_path,transaction_id,value,currency,item_id,item_name,price,quantity
2026-01-27 22:44:20.992607 UTC,begin_checkout,68452117.17695537,68452117.1769553712-1769553711,/checkout,,,,,,,
2026-01-27 22:44:19.077762 UTC,select_item,68452117.17695537,68452117.1769553712-1769553711,/,,,,2.0,Product 2,18.5,1.0
2026-01-27 22:44:19.077762 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/2,,18.5,USD,2.0,Product 2,18.5,1.0
2026-01-27 22:44:19.077762 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/2,,18.5,USD,2.0,Product 2,18.5,1.0
2026-01-27 22:44:02.178645 UTC,select_item,68452117.17695537,68452117.1769553712-1769553711,/,,,,16.0,Product 16,14.0,1.0
2026-01-27 22:44:02.178645 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/16,,14.0,USD,16.0,Product 16,14.0,1.0
2026-01-27 22:44:02.178645 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/16,,14.0,USD,16.0,Product 16,14.0,1.0
2026-01-27 22:43:57.482790 UTC,select_item,68452117.17695537,68452117.1769553712-1769553711,/,,,,2.0,Product 2,18.5,1.0
2026-01-27 22:43:57.482790 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/2,,18.5,USD,2.0,Product 2,18.5,1.0
2026-01-27 22:43:57.482790 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/2,,18.5,USD,2.0,Product 2,18.5,1.0
2026-01-27 22:43:30.487928 UTC,add_to_cart,68452117.17695537,68452117.1769553712-1769553711,/product/15,,156.0,USD,15.0,Product 15,39.0,4.0
2026-01-27 22:43:27.914153 UTC,select_item,68452117.17695537,68452117.1769553712-1769553711,/,,,,15.0,Product 15,39.0,1.0
2026-01-27 22:43:27.914153 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/15,,39.0,USD,15.0,Product 15,39.0,1.0
2026-01-27 22:43:27.914153 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/15,,39.0,USD,15.0,Product 15,39.0,1.0
2026-01-27 22:42:54.225684 UTC,select_item,68452117.17695537,68452117.1769553712-1769553711,/,,,,9.0,Product 9,11.5,1.0
2026-01-27 22:42:54.225684 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/9,,11.5,USD,9.0,Product 9,11.5,1.0
2026-01-27 22:42:54.225684 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/9,,11.5,USD,9.0,Product 9,11.5,1.0
2026-01-27 22:42:40.611452 UTC,select_item,68452117.17695537,68452117.1769553712-1769553711,/,,,,4.0,Product 4,9.75,1.0
2026-01-27 22:42:40.611452 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/4,,9.75,USD,4.0,Product 4,9.75,1.0
2026-01-27 22:42:40.611452 UTC,view_item,68452117.17695537,68452117.1769553712-1769553711,/product/4,,9.75,USD,4.0,Product 4,9.75,1.0
2026-01-27 22:42:31.364698 UTC,select_item,1077862076.1769552,1077862076.1769553732-1769553732,/,,,,2.0,Product 2,18.5,1.0
2026-01-27 22:42:31.364698 UTC,view_item,1077862076.1769552,1077862076.1769553732-1769553732,/product/2,,18.5,USD,2.0,Product 2,18.5,1.0
2026-01-27 22:42:31.364698 UTC,view_item,1077862076.1769552,1077862076.1769553732-1769553732,/product/2,,18.5,USD,2.0,Product 2,18.5,1.0
2026-01-27 22:42:18.830995 UTC,select_item,1077862076.1769552,1077862076.1769553732-1769553732,/,,,,12.0,Product 12,29.0,1.0
2026-01-27 22:42:18.830995 UTC,view_item,1077862076.1769552,1077862076.1769553732-1769553732,/product/12,,29.0,USD,12.0,Product 12,29.0,1.0
2026-01-27 22:42:18.830995 UTC,view_item,1077862076.1769552,1077862076.1769553732-1769553732,/product/12,,29.0,USD,12.0,Product 12,29.0,1.0
2026-01-27 22:42:16.186745 UTC,add_to_cart,1896969388.1769557,1896969388.1769553588-1769553588,/product/14,,8.99,USD,14.0,Product 14,8.99,1.0
2026-01-27 22:42:14.307119 UTC,select_item,1896969388.1769557,1896969388.1769553588-1769553588,/,,,,14.0,Product 14,8.99,1.0
2026-01-27 22:42:14.307119 UTC,view_item,1896969388.1769557,1896969388.1769553588-1769553588,/product/14,,8.99,USD,14.0,Product 14,8.99,1.0
2026-01-27 22:42:14.307119 UTC,view_item,1896969388.1769557,1896969388.1769553588-1769553588,/product/14,,8.99,USD,14.0,Product 14,8.99,1.0
2026-01-27 22:41:51.914735 UTC,select_item,65769239.176955365,65769239.1769553709-1769553708,/,,,,7.0,Product 7,21.0,1.0
2026-01-27 22:41:51.914735 UTC,view_item,65769239.176955365,65769239.1769553709-1769553708,/product/7,,21.0,USD,7.0,Product 7,21.0,1.0
2026-01-27 22:41:51.914735 UTC,view_item,65769239.176955365,65769239.1769553709-1769553708,/product/7,,21.0,USD,7.0,Product 7,21.0,1.0
